Entity,Code,Year,Deforestation
Algeria,DZA,2020,8670
Angola,AGO,2020,510440
Argentina,ARG,2020,195300
Austria,AUT,2020,5130
Bahrain,BHR,2020,0
Benin,BEN,2020,56160
Bhutan,BTN,2020,8480
Brazil,BRA,2020,3256050
Bulgaria,BGR,2020,0
Burkina Faso,BFA,2020,127910
Cameroon,CMR,2020,118960
Canada,CAN,2020,50520
Central African Republic,CAF,2020,46520
Chad,TCD,2020,128210
Chile,CHL,2020,11030
China,CHN,2020,274000
Colombia,COL,2020,133420
Comoros,COM,2020,0
Congo,COG,2020,0
Costa Rica,CRI,2020,4500
Cote d'Ivoire,CIV,2020,92340
Croatia,HRV,2020,40
Cuba,CUB,2020,0
Czechia,CZE,2020,2640
Democratic Republic of Congo,COD,2020,283500
Denmark,DNK,2020,1230
Djibouti,DJI,2020,0
Dominica,DMA,2020,40
Dominican Republic,DOM,2020,24620
El Salvador,SLV,2020,4940
Equatorial Guinea,GNQ,2020,8360
Estonia,EST,2020,720
Eswatini,SWZ,2020,1500
Ethiopia,ETH,2020,38190
Finland,FIN,2020,0
Gabon,GAB,2020,10720
Gambia,GMB,2020,6930
Georgia,GEO,2020,0
Germany,DEU,2020,3200
Greenland,GRL,2020,0
Guatemala,GTM,2020,61100
Guinea,GIN,2020,68000
Guyana,GUY,2020,7630
Honduras,HND,2020,70860
Hungary,HUN,2020,1440
Iceland,ISL,2020,0
India,IND,2020,588000
Indonesia,IDN,2020,108750
Iran,IRN,2020,0
Iraq,IRQ,2020,6600
Ireland,IRL,2020,500
Italy,ITA,2020,12880
Jamaica,JAM,2020,460
Jordan,JOR,2020,0
Kazakhstan,KAZ,2020,21900
Kuwait,KWT,2020,0
Latvia,LVA,2020,580
Lebanon,LBN,2020,100
Libya,LBY,2020,330
Liechtenstein,LIE,2020,0
Lithuania,LTU,2020,440
Madagascar,MDG,2020,135090
Malawi,MWI,2020,42000
Mali,MLI,2020,115090
Malta,MLT,2020,0
Mauritius,MUS,2020,30
Mexico,MEX,2020,165820
Monaco,MCO,2020,0
Morocco,MAR,2020,2150
Mozambique,MOZ,2020,267030
Namibia,NAM,2020,3220
Nauru,NRU,2020,0
Netherlands,NLD,2020,5470
New Zealand,NZL,2020,10100
Nicaragua,NIC,2020,28870
Niger,NER,2020,19920
Norway,NOR,2020,7070
Oman,OMN,2020,0
Panama,PAN,2020,5430
Papua New Guinea,PNG,2020,33530
Paraguay,PRY,2020,217620
Poland,POL,2020,1630
Portugal,PRT,2020,36390
Qatar,QAT,2020,0
Romania,ROU,2020,20
Russia,RUS,2020,0
Saint Vincent and the Grenadines,VCT,2020,10
San Marino,SMR,2020,0
Saudi Arabia,SAU,2020,0
Senegal,SEN,2020,21450
Serbia,SRB,2020,20
Singapore,SGP,2020,0
Slovenia,SVN,2020,2420
Somalia,SOM,2020,76750
South Korea,KOR,2020,3800
Spain,ESP,2020,4260
Sudan,SDN,2020,264000
Suriname,SUR,2020,22700
Sweden,SWE,2020,0
Switzerland,CHE,2020,1050
Syria,SYR,2020,0
Tanzania,TZA,2020,469000
Togo,TGO,2020,3960
Tunisia,TUN,2020,3880
Turkey,TUR,2020,420
Uganda,UGA,2020,37940
United Kingdom,GBR,2020,180
Uruguay,URY,2020,0
Uzbekistan,UZB,2020,3000
Venezuela,VEN,2020,60110
Vietnam,VNM,2020,1820
Yemen,YEM,2020,0
Zimbabwe,ZWE,2020,53000
